platform,operation,file_count,file_size,total_size_mb,elapsed_time,speed_mbps,concurrent_ops,iteration,status
AWS S3,upload,10,1024,0.009765625,0.06575632095336914,0.1485123385617218,10,1,success
Azure Blob Storage,upload,10,1024,0.009765625,0.48520708084106445,0.020126715758294653,10,1,success
AWS S3,download,10,1024,0.009765625,0.07338118553161621,0.1330807744417333,10,1,success
Azure Blob Storage,download,10,1024,0.009765625,0.2475450038909912,0.03944989737825767,10,1,success
AWS S3,upload,10,1024,0.009765625,0.06457877159118652,0.15122035863148528,10,2,success
Azure Blob Storage,upload,10,1024,0.009765625,0.4853651523590088,0.02012016098093644,10,2,success
AWS S3,download,10,1024,0.009765625,0.0778048038482666,0.1255144222077178,10,2,success
Azure Blob Storage,download,10,1024,0.009765625,0.2768990993499756,0.03526781063183282,10,2,success
AWS S3,upload,10,1024,0.009765625,0.06220507621765137,0.1569908051527939,10,3,success
Azure Blob Storage,upload,10,1024,0.009765625,0.4922490119934082,0.019838790453744523,10,3,success
AWS S3,download,10,1024,0.009765625,0.07117486000061035,0.13720610057984317,10,3,success
Azure Blob Storage,download,10,1024,0.009765625,0.25099897384643555,0.03890703157206825,10,3,success
AWS S3,upload,10,1024,0.009765625,0.06465268135070801,0.1510474862910393,25,1,success
Azure Blob Storage,upload,10,1024,0.009765625,0.45849108695983887,0.02129948711708634,25,1,success
AWS S3,download,10,1024,0.009765625,0.06942629814147949,0.14066175586806093,25,1,success
Azure Blob Storage,download,10,1024,0.009765625,0.27305102348327637,0.035764835727115,25,1,success
AWS S3,upload,10,1024,0.009765625,0.06049776077270508,0.16142126378346852,25,2,success
Azure Blob Storage,upload,10,1024,0.009765625,0.5190348625183105,0.018814969292463447,25,2,success
AWS S3,download,10,1024,0.009765625,0.08115983009338379,0.1203258433237664,25,2,success
Azure Blob Storage,download,10,1024,0.009765625,0.2676050662994385,0.03649267607315285,25,2,success
AWS S3,upload,10,1024,0.009765625,0.06309986114501953,0.15476460364240913,25,3,success
Azure Blob Storage,upload,10,1024,0.009765625,0.5394198894500732,0.018103939418985533,25,3,success
AWS S3,download,10,1024,0.009765625,0.08146882057189941,0.11986947805855928,25,3,success
Azure Blob Storage,download,10,1024,0.009765625,0.2707831859588623,0.03606436996972037,25,3,success
AWS S3,upload,10,1024,0.009765625,0.08337616920471191,0.11712729300410346,50,1,success
Azure Blob Storage,upload,10,1024,0.009765625,0.4898531436920166,0.019935821839167173,50,1,success
AWS S3,download,10,1024,0.009765625,0.09040522575378418,0.10802058087434432,50,1,success
Azure Blob Storage,download,10,1024,0.009765625,0.2947530746459961,0.03313154582603997,50,1,success
AWS S3,upload,10,1024,0.009765625,0.0648648738861084,0.15055336447808043,50,2,success
Azure Blob Storage,upload,10,1024,0.009765625,0.4626607894897461,0.021107526770898822,50,2,success
AWS S3,download,10,1024,0.009765625,0.06712603569030762,0.14548192664102264,50,2,success
Azure Blob Storage,download,10,1024,0.009765625,0.28890514373779297,0.033802184598219445,50,2,success
AWS S3,upload,10,1024,0.009765625,0.0758509635925293,0.12874754040648514,50,3,success
Azure Blob Storage,upload,10,1024,0.009765625,0.5208492279052734,0.01874942781287192,50,3,success
AWS S3,download,10,1024,0.009765625,0.08073973655700684,0.12095190567168762,50,3,success
Azure Blob Storage,download,10,1024,0.009765625,0.26934003829956055,0.03625760604199013,50,3,success
AWS S3,upload,50,1024,0.048828125,0.23396825790405273,0.20869551039707174,10,1,success
Azure Blob Storage,upload,50,1024,0.048828125,0.610008716583252,0.08004496275642334,10,1,success
AWS S3,download,50,1024,0.048828125,0.3497638702392578,0.1396031127131538,10,1,success
Azure Blob Storage,download,50,1024,0.048828125,0.32279086112976074,0.1512686103599794,10,1,success
AWS S3,upload,50,1024,0.048828125,0.29828715324401855,0.16369503167994423,10,2,success
Azure Blob Storage,upload,50,1024,0.048828125,0.5409111976623535,0.09027013160574167,10,2,success
AWS S3,download,50,1024,0.048828125,0.3366389274597168,0.14504598552656367,10,2,success
Azure Blob Storage,download,50,1024,0.048828125,0.2900390625,0.16835016835016836,10,2,success
AWS S3,upload,50,1024,0.048828125,0.28411006927490234,0.17186340887043447,10,3,success
Azure Blob Storage,upload,50,1024,0.048828125,0.5306768417358398,0.09201103413573425,10,3,success
AWS S3,download,50,1024,0.048828125,0.32453417778015137,0.15045603311795885,10,3,success
Azure Blob Storage,download,50,1024,0.048828125,0.35081911087036133,0.1391831958038441,10,3,success
AWS S3,upload,50,1024,0.048828125,0.2833831310272217,0.17230427521569583,25,1,success
Azure Blob Storage,upload,50,1024,0.048828125,0.5183660984039307,0.09419621605337172,25,1,success
AWS S3,download,50,1024,0.048828125,0.32659316062927246,0.14950749399013455,25,1,success
Azure Blob Storage,download,50,1024,0.048828125,0.34723997116088867,0.14061781204726626,25,1,success
AWS S3,upload,50,1024,0.048828125,0.27565813064575195,0.17713290330169504,25,2,success
Azure Blob Storage,upload,50,1024,0.048828125,0.5233449935913086,0.09330007088618666,25,2,success
AWS S3,download,50,1024,0.048828125,0.3321378231048584,0.14701163674630516,25,2,success
Azure Blob Storage,download,50,1024,0.048828125,0.3118758201599121,0.15656271452837775,25,2,success
AWS S3,upload,50,1024,0.048828125,0.3384556770324707,0.14426741317539057,25,3,success
Azure Blob Storage,upload,50,1024,0.048828125,0.536628007888794,0.09099063836064016,25,3,success
AWS S3,download,50,1024,0.048828125,0.2597818374633789,0.187958193986072,25,3,success
Azure Blob Storage,download,50,1024,0.048828125,0.33422207832336426,0.1460948517971878,25,3,success
AWS S3,upload,50,1024,0.048828125,0.2834329605102539,0.1722739829273791,50,1,success
Azure Blob Storage,upload,50,1024,0.048828125,0.5314879417419434,0.09187061674431708,50,1,success
AWS S3,download,50,1024,0.048828125,0.34143900871276855,0.14300687312818458,50,1,success
Azure Blob Storage,download,50,1024,0.048828125,0.309643030166626,0.1576916650561276,50,1,success
AWS S3,upload,50,1024,0.048828125,0.3016200065612793,0.16188622749757725,50,2,success
Azure Blob Storage,upload,50,1024,0.048828125,0.6422600746154785,0.07602547150269838,50,2,success
